Dish_ID,Dish_Name,Meal_Type,Calories,Protein,Carbs,Fat,Fiber,Diet_Type,Tags
D037,Chicken Curry,Lunch,160,7.6,33.1,20.4,1.7,Non-Veg,"Keto Friendly, Low Calorie"
D038,Dal Makhani,Lunch,161,12.3,35.4,11.4,8.2,Veg,"High Protein, Low Calorie"
D039,Vegetable Wrap,Lunch,102,12.8,27.7,12.6,4,Veg,"Keto Friendly, Low Calorie"
D040,Prawn Curry,Lunch,370,9.3,21.1,20,3.4,Veg,"Low Calorie, Keto Friendly"
D041,Moong Dal Khichdi,Dinner,250,20.2,34.3,20.7,8,Veg,"Fiber Rich, Balanced"
D042,Vegetable Soup,Dinner,295,9.3,27.2,13.1,8.8,Veg,"High Protein, Low Calorie"
D043,Grilled Fish,Dinner,167,8.2,22.5,3.3,7.6,Non-Veg,"Fiber Rich, Low Calorie"
D044,Palak Paneer,Dinner,482,8.1,10.3,18.1,2.6,Veg,"High Protein, Low Calorie"
D045,Zucchini Noodles,Dinner,424,5.2,15,15.4,4.6,Veg,"Keto Friendly, Low Calorie"
D046,Stuffed Bell Peppers,Dinner,134,14.4,29.4,7.6,2.7,Veg,"High Protein, Balanced"
D047,Paneer Bhurji,Dinner,221,27.1,24.3,2,4.5,Veg,"Fiber Rich, Balanced"
D048,Chicken Stir Fry,Dinner,326,5.8,25.5,7.1,1.3,Non-Veg,"Keto Friendly, Balanced"
D049,Mushroom Masala,Dinner,122,21.3,29.5,11.5,5.8,Veg,"Balanced, Keto Friendly"
D050,Lentil Soup,Dinner,333,30,43.4,7,9,Veg,"Keto Friendly, Balanced"
D051,Tofu Curry,Dinner,477,14.6,32.7,16.9,3.6,Veg,"Low Calorie, Balanced"
D052,Vegetable Pulao,Dinner,181,20.6,37.5,9,4.5,Veg,"High Protein, Fiber Rich"
D053,Grilled Paneer Skewers,Dinner,364,12.1,26.5,11.2,2.2,Veg,"Low Calorie, Fiber Rich"
D054,Spinach Dal,Dinner,138,6,16,18.5,3.6,Veg,"Balanced, High Protein"
D055,Chicken Soup,Dinner,455,25.6,15.2,23.7,4.5,Non-Veg,"Low Calorie, Balanced"
D056,Keto Cauliflower Rice,Dinner,240,6.6,10.9,10.9,4.5,Veg,"Low Calorie, Balanced"
D057,Stuffed Mushrooms,Dinner,420,27.4,47.3,13.1,2.4,Veg,"Balanced, Fiber Rich"
D058,Mixed Lentil Dosa,Dinner,124,26.3,14,6.3,6.8,Veg,"Low Calorie, Balanced"
D059,Cabbage Sabzi,Dinner,405,29.5,44.3,19.7,7,Veg,"Keto Friendly, Fiber Rich"
D060,Kofta Curry,Dinner,367,8.7,48.5,22.4,2.3,Veg,"Balanced, Keto Friendly"
D061,Roasted Chickpeas,Snack,427,14.2,49.3,20.7,3.4,Veg,"Low Calorie, Balanced"
D062,Fruit Chaat,Snack,302,17.4,31.2,24.3,8.1,Veg,"Balanced, Low Calorie"
D063,Protein Bar,Snack,430,19.4,17.5,8.9,6.6,Veg,"High Protein, Fiber Rich"
D064,Boiled Corn,Snack,246,9.2,19.3,5.6,3.6,Veg,"Keto Friendly, Low Calorie"
D065,Nuts & Seeds Mix,Snack,469,24.9,26.4,22.6,1.3,Veg,"Fiber Rich, Low Calorie"
D066,Greek Yogurt,Snack,377,14.6,35.6,5,1.2,Veg,"Keto Friendly, High Protein"
D067,Protein Shake,Snack,103,29.7,11.2,6.7,9.2,Veg,"Keto Friendly, Balanced"
D068,Baked Sweet Potato,Snack,187,11.3,40.4,11.8,5.9,Veg,"Low Calorie, Keto Friendly"
D069,Energy Balls,Snack,417,22.6,20,22.7,7,Veg,"Low Calorie, Balanced"
D070,Cucumber Sticks,Snack,382,16.2,12,6.6,9.1,Veg,"Balanced, Fiber Rich"
D071,Peanut Butter Toast,Snack,333,9.5,40.9,15.2,5.4,Veg,"Fiber Rich, Low Calorie"
D072,Vegetable Sticks with Hummus,Snack,466,15.2,18.5,6.3,4.8,Veg,"Low Calorie, Fiber Rich"
D073,Popcorn,Snack,220,15.4,42.3,24.4,4.1,Veg,"Fiber Rich, Balanced"
D074,Roasted Makhana,Snack,101,7.1,27.2,3.1,7.4,Veg,"High Protein, Balanced"
D075,Apple Slices with Peanut Butter,Snack,320,18.1,45.5,16.8,8.2,Veg,"Balanced, Keto Friendly"
D076,Homemade Granola,Snack,277,19.8,22,3.1,8.8,Veg,"Fiber Rich, High Protein"
D077,Dark Chocolate Almonds,Snack,233,20.7,19.4,21.4,6.7,Veg,"Keto Friendly, Balanced"
D078,Cheese Cubes,Snack,310,9.3,36,3.1,4.7,Veg,"High Protein, Balanced"
D079,Rice Cake,Snack,123,25.1,37.6,13.7,7.8,Veg,"Balanced, Fiber Rich"
D080,Oat Cookies,Snack,361,7.4,10.9,12.8,1.5,Veg,"Low Calorie, Balanced"
